 3.513342439209545E+017 3.513483653613177E+017
 3.521844165865001E+017 3.524240835119279E+017
 3.532010472326740E+017 3.532174750292758E+017
 3.533728318944659E+017 3.556644850572890E+017
 3.548596147594876E+017 3.541642762176899E+017
 3.556453097630295E+017 3.554685021380273E+017
 3.563325063437812E+017 3.558730775659418E+017
 3.570544732378375E+017 3.590996188911587E+017
 3.589680295468177E+017 3.578604998630051E+017
 3.588617168401284E+017 3.583271509840193E+017
 3.599065078804476E+017 3.600725132842941E+017
 3.601704000699946E+017 3.595533386491524E+017
 3.605672516759727E+017 3.613651408666608E+017
 3.621417706605401E+017 3.629565459314053E+017
 3.618893991848887E+017 3.609009942971078E+017
 3.629281262354413E+017 3.629657565299988E+017
 3.633824612020276E+017 3.663128296600933E+017
 3.639085766763926E+017 3.641327997977818E+017
 3.644137519334784E+017 3.639172459199425E+017
 3.641914114434438E+017 3.654222494239535E+017
 3.652681546960373E+017 3.653804599560055E+017
 3.655191976234794E+017 3.660531874447267E+017
 3.667365865301386E+017 3.664243810706269E+017
 3.663175110368058E+017 3.666974842158240E+017
 3.660603288035176E+017 3.681201584523345E+017
 3.670569510561661E+017 3.662560467200479E+017
 3.675949903581258E+017 3.676011382601013E+017
 3.671867051356164E+017 3.686400260795865E+017
 3.677889456358051E+017 3.684715777206545E+017
 3.684351122047283E+017 3.678287704163994E+017
 3.678888924628581E+017 3.697225534245930E+017
 3.686577252005105E+017 3.671896702890525E+017
 3.681087559402551E+017 3.681208810459846E+017
 3.679969929225972E+017 3.696486533224143E+017
 3.685174725133810E+017 3.692605756282085E+017
 3.681259990422802E+017 3.672782852055459E+017
 3.678700014477313E+017 3.667738107366397E+017
 3.690268575512234E+017 3.678121270105231E+017
 3.672881837751434E+017 3.664740589170269E+017
 3.677247631677540E+017 3.659645897115478E+017
 3.676581785995109E+017 3.681350761727663E+017
 3.668214900607556E+017 3.659466958543016E+017
 3.667820465716251E+017 3.697948465392729E+017
 3.671836459633164E+017 3.661749648828227E+017
 3.653640355049764E+017 3.654956257760012E+017
 3.654001107828308E+017 3.670717612083458E+017
 3.654330072891002E+017 3.655330319283073E+017
 3.649390045271195E+017 3.660514410425325E+017
 3.649806075704480E+017 3.670465635417601E+017
 3.640008420693813E+017 3.653885802050629E+017
 3.636617508386022E+017 3.640467338299004E+017
 3.625933629379014E+017 3.611042306098601E+017
 3.620100870023323E+017 3.618792008709971E+017
 3.629185703913564E+017 3.634991873078802E+017
 3.615515545151743E+017 3.605904687905125E+017
 3.598225198475127E+017 3.596384905852858E+017
 3.594543537790444E+017 3.599625307597283E+017
 3.590383059890577E+017 3.593487358854990E+017
 3.580251209352224E+017 3.606461704843651E+017
 3.578132270103392E+017 3.579748560510950E+017
 3.575489858690751E+017 3.573343279731009E+017
 3.555889732837018E+017 3.576315602351786E+017
 3.547076942800993E+017 3.543115584436556E+017
 3.539416770349551E+017 3.517359692905215E+017
 3.521997394610874E+017 3.511748524474592E+017
 3.510456233246175E+017 3.517472646684549E+017
 3.503476462564547E+017 3.510936875329929E+017
 3.490664157641776E+017 3.492174904041267E+017
 3.482031075239544E+017 3.460584364984629E+017
 3.475067792844686E+017 3.495190052042133E+017
 3.452845313928768E+017 3.473664508770673E+017
 3.448827014159564E+017 3.432880871312748E+017
 3.430969062645358E+017 3.442577877318852E+017
 3.422888540757975E+017 3.430286326058271E+017
 3.404727720176197E+017 3.429179891027163E+017
 3.387186818602350E+017 3.389437621818908E+017
 3.376241655655118E+017 3.382685254902596E+017
 3.361109695066169E+017 3.358382752618895E+017
 3.339746284549952E+017 3.349142303585082E+017
 3.328148228502456E+017 3.319080488614412E+017
 3.306012282375894E+017 3.299952194724311E+017
 3.291892624289015E+017 3.291535904785100E+017
 3.270522605919887E+017 3.274484974398479E+017
 3.258000617576607E+017 3.256876860644627E+017
 3.237798212599165E+017 3.234907086669639E+017
 3.218037465667535E+017 3.234369740232367E+017
 3.203339302090293E+017 3.199103311750013E+017
 3.177794197294765E+017 3.176366950443868E+017
 3.150091775394862E+017 3.142349570634117E+017
 3.128863355784184E+017 3.125948895971611E+017
 3.107634891074161E+017 3.104759526703948E+017
 3.086166170555953E+017 3.094828519332597E+017
 3.051900836113494E+017 3.057234431663323E+017
